density,sparsity_pct,rank,n,trial,rel_error,online_runtime_sec,speedup_online
0.001,99.9,64,512,2,0.6580065666931646,0.004601399996317923,160.6378494765118
0.001,99.9,128,512,2,0.16531080060861025,0.004459100018721074,165.76416695890592
0.001,99.9,8,512,3,0.9995228474210741,0.002119800017680973,309.08627914079693
0.001,99.9,16,512,3,0.9952660868937317,0.0017529999604448676,373.759905745425
0.001,99.9,32,512,3,0.9556771385001419,0.00322979997145012,202.8612006251998
0.001,99.9,64,512,3,0.7781060205580972,0.003269399981945753,200.4040813622537
0.001,99.9,128,512,3,0.17036404424160498,0.007326599967200309,89.42771584647843
0.001,99.9,8,512,4,0.8705615958601269,0.002017199993133545,371.9184526019044
0.001,99.9,16,512,4,0.8584825896734698,0.002348700014408678,319.42516942662144
0.001,99.9,32,512,4,0.8422101297453832,0.0027086000191047788,276.9821659688094
0.001,99.9,64,512,4,0.6884427913866822,0.0037530999979935586,199.89712515943674
0.001,99.9,128,512,4,0.2837747572130602,0.007819200051017106,95.9476538699392
