matrix_type,algo,n,rank,trial,rel_error,online_runtime_sec,offline_runtime_sec,total_runtime_sec,baseline_runtime_sec,speedup_online,speedup_total
Dense Gaussian,lrgemm_rsvd,512,8,0,0.9989611083961528,0.0030906000174582005,0.016486199980136007,0.019576799997594208,0.9381717999931425,303.5565245239086,47.92263291796588
Dense Gaussian,lrgemm_det,512,8,0,0.9976093847344809,0.06167418000404723,0.5550676200364251,0.6167418000404723,0.9381717999931425,15.211743389722848,1.5211743389722847
Dense Gaussian,lrgemm_rsvd,512,16,0,0.9957513223348333,0.003818300028797239,0.0364295999170281,0.04024789994582534,0.9381717999931425,245.7040549243234,23.30983234543777
Dense Gaussian,lrgemm_det,512,16,0,0.9928357179593302,0.05962717999937013,0.5366446199943312,0.5962717999937014,0.9381717999931425,15.733962263569278,1.5733962263569277
Dense Gaussian,lrgemm_rsvd,512,32,0,0.9844679101294851,0.003799700003582984,0.09714600001461804,0.10094570001820102,0.9381717999931425,246.90680819761542,9.293826283080758
Dense Gaussian,lrgemm_det,512,32,0,0.9774382378798213,0.06116648999741301,0.5504984099767171,0.6116648999741301,0.9381717999931425,15.338002884141655,1.5338002884141655
Dense Gaussian,lrgemm_rsvd,512,64,0,0.9474086555650866,0.005897400027606636,0.24641790002351627,0.2523153000511229,0.9381717999931425,159.08227279842237,3.7182517263243833
Dense Gaussian,lrgemm_det,512,64,0,0.9245799718222356,0.06799436999717727,0.6119493299745955,0.6799436999717727,0.9381717999931425,13.797786493677195,1.3797786493677195
Dense Gaussian,lrgemm_rsvd,512,128,0,0.8225662106286018,0.04679049999685958,0.6817624000250362,0.7285529000218958,0.9381717999931425,20.050476059373363,1.287719532740789
Dense Gaussian,lrgemm_det,512,128,0,0.7800142115485135,0.10107715000049211,0.909694350004429,1.010771500004921,0.9381717999931425,9.281739740273393,0.9281739740273394
Dense Gaussian,lrgemm_rsvd,512,8,1,0.9986179577426649,0.003125899995211512,0.014110099989920855,0.017235999985132366,1.1884104000055231,380.1818362154961,68.94931544619612
Dense Gaussian,lrgemm_det,512,8,1,0.9986087935639298,0.10237424999941142,0.9213682499947027,1.023742499994114,1.1884104000055231,11.608489439603765,1.1608489439603766
Dense Gaussian,lrgemm_rsvd,512,16,1,0.9952030848775374,0.0032959000091068447,0.04280410008504987,0.04610000009415671,1.1884104000055231,360.5723464673827,25.77896740950673
Dense Gaussian,lrgemm_det,512,16,1,0.9933460026141785,0.07881735000410117,0.7093561500369105,0.7881735000410117,1.1884104000055231,15.078030407564901,1.5078030407564902
Dense Gaussian,lrgemm_rsvd,512,32,1,0.9829583601706229,0.014623300055973232,0.32136699999682605,0.3359903000527993,1.1884104000055231,81.26827702752969,3.53703782465973
Dense Gaussian,lrgemm_det,512,32,1,0.9766912804343589,0.2029897500004154,1.8269077500037383,2.0298975000041537,1.1884104000055231,5.85453403436918,0.585453403436918
Dense Gaussian,lrgemm_rsvd,512,64,1,0.9435238623486362,0.016028499987442046,0.16339540004264563,0.17942390003008768,1.1884104000055231,74.14358180345103,6.623478810828646
Dense Gaussian,lrgemm_det,512,64,1,0.9224938451205417,0.13297418999718502,1.1967677099746652,1.3297418999718502,1.1884104000055231,8.93715088642902,0.8937150886429021
Dense Gaussian,lrgemm_rsvd,512,128,1,0.82023228179467,0.010224900033790618,0.3912257000338286,0.40145060006761923,1.1884104000055231,116.22709230194309,2.9602905059933913
Dense Gaussian,lrgemm_det,512,128,1,0.7778537347729422,0.13416780999978073,1.2075102899980266,1.3416780999978073,1.1884104000055231,8.857641784623787,0.8857641784623789
Dense Gaussian,lrgemm_rsvd,512,8,2,0.9986123763553664,0.002424400008749217,0.09381430002395064,0.09623870003269985,0.8565052999765612,353.28547140966424,8.899801220148849
Dense Gaussian,lrgemm_det,512,8,2,0.9984433455132681,0.09952839000034147,0.8957555100030732,0.9952839000034146,0.8565052999765612,8.605638049340723,0.8605638049340724
Dense Gaussian,lrgemm_rsvd,512,16,2,0.9955428733712746,0.003409900004044175,0.08891719998791814,0.09232709999196231,0.8565052999765612,251.18194051460085,9.2768569580451
Dense Gaussian,lrgemm_det,512,16,2,0.9940571781356934,0.06731555000296795,0.6058399500267114,0.6731555000296794,0.8565052999765612,12.723736193773918,1.272373619377392
Dense Gaussian,lrgemm_rsvd,512,32,2,0.9843567184690188,0.008623100002296269,0.08306430000811815,0.09168740001041442,0.8565052999765612,99.32684298552493,9.341581284661514
Dense Gaussian,lrgemm_det,512,32,2,0.9768907703866773,0.08377282000146807,0.7539553800132126,0.8377282000146806,0.8565052999765612,10.224143104667498,1.0224143104667498
Dense Gaussian,lrgemm_rsvd,512,64,2,0.9473982209254406,0.009941899974364787,0.19172930001514032,0.2016711999895051,0.8565052999765612,86.15106792313966,4.247038248501191
Dense Gaussian,lrgemm_det,512,64,2,0.9251933329862752,0.08312713999766858,0.7481442599790171,0.8312713999766856,0.8565052999765612,10.303557899388613,1.0303557899388616
Dense Gaussian,lrgemm_rsvd,512,128,2,0.8215236584261467,0.012927800009492785,0.7229504999704659,0.7358782999799587,0.8565052999765612,66.25298189542195,1.163922485552146
Dense Gaussian,lrgemm_det,512,128,2,0.7811673724876504,0.10411806000047363,0.9370625400042627,1.0411806000047363,0.8565052999765612,8.226289463832355,0.8226289463832355
Dense Gaussian,lrgemm_rsvd,512,8,3,0.9989743828320927,0.002453699999023229,0.09405970002990216,0.09651340002892539,1.7030000999802724,694.0539188402022,17.645219207590632
