algo,n,rank,trial,rel_error,online_runtime_sec,offline_runtime_sec,total_runtime_sec,baseline_runtime_sec,speedup_online,speedup_total
lrgemm_rsvd,512,4,0,0.9993146809091997,0.002059800026472658,0.009398900030646473,0.011458700057119131,0.8739025999675505,424.2657484882554,76.26542239619991
lrgemm_det,512,4,0,0.9980940223504265,0.07426565000205301,0.6683908500184771,0.7426565000205301,0.8739025999675505,11.767251750215506,1.1767251750215506
lrgemm_rsvd,512,8,0,0.9980958061671472,0.002313900040462613,0.014280300005339086,0.0165942000458017,0.8739025999675505,377.6751738129677,52.6631351650269
lrgemm_det,512,8,0,0.9959038866448329,0.053262350003933534,0.4793611500354018,0.5326235000393353,0.8739025999675505,16.40751112001275,1.6407511120012748
lrgemm_rsvd,512,16,0,0.9928301101249883,0.003646500001195818,0.08978579996619374,0.09343229996738955,0.8739025999675505,239.65517610886232,9.353324281566081
lrgemm_det,512,16,0,0.9890587463989091,0.05274009000277147,0.4746608100249432,0.5274009000277147,0.8739025999675505,16.56998689083821,1.6569986890838209
lrgemm_rsvd,512,32,0,0.977625246186389,0.002994899987243116,0.08716590004041791,0.09016080002766103,0.8739025999675505,291.7969226651875,9.692711241464584
lrgemm_det,512,32,0,0.9699673629641324,0.05389701999956742,0.4850731799961068,0.5389701999956742,0.8739025999675505,16.214302756897588,1.621430275689759
lrgemm_rsvd,512,64,0,0.937242052783312,0.006754400033969432,0.20397379994392395,0.21072819997789338,0.8739025999675505,129.38271283496584,4.14706052658936
lrgemm_det,512,64,0,0.9178136157283088,0.05312096999841742,0.4780887299857568,0.5312096999841742,0.8739025999675505,16.451179261101327,1.6451179261101327
lrgemm_rsvd,512,128,0,0.8132307288096161,0.0058889000210911036,0.4530091999913566,0.4588981000124477,0.8739025999675505,148.39827418323748,1.9043500069925017
lrgemm_det,512,128,0,0.7729604337035483,0.0508501400006935,0.4576512600062415,0.508501400006935,0.8739025999675505,17.185844521876085,1.7185844521876088
lrgemm_rsvd,512,256,0,0.4822623382059206,0.010604400013107806,0.7056976999738254,0.7163020999869332,0.8739025999675505,82.40943371499978,1.220019597853325
lrgemm_det,512,256,0,0.4382848482562042,0.05464516999782063,0.4918065299803857,0.5464516999782063,0.8739025999675505,15.992311854870314,1.5992311854870314
lrgemm_rsvd,512,4,1,0.9967548450237245,0.0018803999992087483,0.007042900018859655,0.008923300018068403,0.8456820999854244,449.73521609300053,94.77234860119457
lrgemm_det,512,4,1,0.9975690366166873,0.052888599998550494,0.4759973999869544,0.5288859999855049,0.8456820999854244,15.989874944857718,1.5989874944857718
lrgemm_rsvd,512,8,1,0.9961270143393496,0.0021087999921292067,0.010843100026249886,0.012951900018379092,0.8456820999854244,401.0252765277938,65.29405714878736
lrgemm_det,512,8,1,0.9950548010329469,0.058321429998613894,0.524892869987525,0.5832142999861389,0.8456820999854244,14.500366331990204,1.4500366331990204
lrgemm_rsvd,512,16,1,0.9911621564758444,0.003729499992914498,0.04349499999079853,0.04722449998371303,0.8456820999854244,226.75482010781505,17.907698340418353
lrgemm_det,512,16,1,0.987691208967421,0.054503949999343604,0.49053554999409243,0.545039499993436,0.8456820999854244,15.515978199664595,1.5515978199664595
lrgemm_rsvd,512,32,1,0.97568157007715,0.005053500004578382,0.08530609996523708,0.09035959996981546,0.8456820999854244,167.34581957440415,9.359073084297892
lrgemm_det,512,32,1,0.9694865688265094,0.05243614999926649,0.4719253499933984,0.5243614999926649,0.8456820999854244,16.127845007637944,1.6127845007637944
lrgemm_rsvd,512,64,1,0.9371402535108145,0.004430500033777207,0.19613439997192472,0.20056490000570193,0.8456820999854244,190.87734872771034,4.216500992752881
lrgemm_det,512,64,1,0.9154579147776489,0.059862160001648596,0.5387594400148373,0.5986216000164859,0.8456820999854244,14.127156453461327,1.4127156453461327
lrgemm_rsvd,512,128,1,0.8094830415009474,0.007043300021905452,0.44661649997578934,0.4536597999976948,0.8456820999854244,120.06901556873318,1.8641327708333901
lrgemm_det,512,128,1,0.7689341596821763,0.05125134999980219,0.4612621499982197,0.5125134999980219,0.8456820999854244,16.50067949407554,1.650067949407554
lrgemm_rsvd,512,256,1,0.48298994595299977,0.011007699999026954,0.7122000999515876,0.7232077999506146,0.8456820999854244,76.82641242586372,1.1693486990090167
lrgemm_det,512,256,1,0.43806598835794835,0.0498250000004191,0.4484250000037719,0.498250000004191,0.8456820999854244,16.973047666398617,1.6973047666398615
lrgemm_rsvd,512,4,2,0.9978243484923026,0.002177499991375953,0.006711900059599429,0.008889400050975382,0.9645585000398569,442.9660178461615,108.5065915032164
lrgemm_det,512,4,2,0.9979338289111868,0.0479237399995327,0.4313136599957943,0.479237399995327,0.9645585000398569,20.126945435587086,2.0126945435587085
lrgemm_rsvd,512,8,2,0.9971097040810998,0.002202899951953441,0.011977700050920248,0.014180600002873689,0.9645585000398569,437.8585142663997,68.01958308142038
lrgemm_det,512,8,2,0.9960630402636057,0.045717820001300424,0.4114603800117038,0.45717820001300424,0.9645585000398569,21.098086041994573,2.1098086041994577
lrgemm_rsvd,512,16,2,0.9928004163090476,0.002993199974298477,0.03032979997806251,0.03332299995236099,0.9645585000398569,322.24993596223806,28.94572821831176
lrgemm_det,512,16,2,0.9900467253183204,0.046959160000551496,0.4226324400049634,0.4695916000055149,0.9645585000398569,20.54036954725189,2.054036954725189
lrgemm_rsvd,512,32,2,0.9795894632575658,0.003216199984308332,0.07697030005510896,0.0801865000394173,0.9645585000398569,299.90625730548044,12.028938781038063
