intrinsic_rank,target_rank,n,trial,rel_error,online_runtime_sec,speedup_online
5,8,512,0,2.215880195220146e-14,0.002439200005028397,318.535994739738
5,16,512,0,1.1928947855716322e-14,0.002223299990873784,349.46835926785326
5,32,512,0,5.559744503167642e-15,0.004435500013642013,175.17145701300936
5,64,512,0,5.03434574544773e-15,0.012316300009842962,63.084936169949714
5,128,512,0,7.676344815196114e-15,0.01877790002617985,41.3769909780993
5,8,512,1,1.2836366546038108e-14,0.004246099968440831,195.6212774534301
5,16,512,1,1.8862302541631005e-14,0.002583299996331334,321.53737514070286
5,32,512,1,6.0256720646712426e-15,0.002557000028900802,324.8445407247152
5,64,512,1,3.858342018082244e-15,0.0033024000003933907,251.52237764123606
5,128,512,1,4.630046292450313e-15,0.006100900005549192,136.14835504037947
5,8,512,2,1.3892892926091771e-14,0.0022045999648980796,349.4709299778937
5,16,512,2,9.96124929916621e-15,0.0025884000351652503,297.652445331147
5,32,512,2,7.0671575457657014e-15,0.0031663000117987394,243.32615263595423
5,64,512,2,3.278727662402795e-15,0.004927299974951893,156.36222756453665
5,128,512,2,3.6197100696421764e-15,0.014995800040196627,51.37729216827177
5,8,512,3,1.3647017535157339e-14,0.002537699998356402,357.21022996028614
5,16,512,3,1.8668722582205975e-15,0.002466699981596321,367.4919555464029
5,32,512,3,4.336855961231104e-15,0.006670699978712946,135.89164598555487
5,64,512,3,2.101534316453178e-15,0.0033552999957464635,270.16731771593436
5,128,512,3,1.4487207330264346e-15,0.004682500031776726,193.59154166180514
5,8,512,4,8.728038875096626e-15,0.001899800030514598,417.5792121750399
5,16,512,4,1.7802650339775682e-14,0.002168700040783733,365.80300876727546
5,32,512,4,2.462283024209622e-15,0.0025304000009782612,313.5144640079448
5,64,512,4,5.046264559127041e-15,0.005853800044860691,135.52171135891302
5,128,512,4,4.265055098898531e-15,0.007817699981387705,101.47703313265066
10,8,512,0,0.0166195306181707,0.0019659000099636614,416.60618335368684
10,16,512,0,4.1087811808697166e-13,0.002158300019800663,379.46814274763244
10,32,512,0,1.518538460599317e-13,0.003485799999907613,234.9549888196806
10,64,512,0,3.565135075302303e-14,0.005815500044263899,140.83158692669258
10,128,512,0,7.706897715079555e-14,0.019323499989695847,42.38394185539196
10,8,512,1,0.03208488854304518,0.002662199956830591,301.5229933929647
10,16,512,1,5.218629227861509e-13,0.0026617999537847936,301.5683048806156
10,32,512,1,5.383791196484346e-13,0.0036883000284433365,217.6380700604149
10,64,512,1,1.4669634694211806e-13,0.004734100017230958,169.5601058432433
10,128,512,1,7.151500912314899e-14,0.004877200000919402,164.58511027697475
10,8,512,2,0.004770694731641023,0.0019507999531924725,428.1204736888715
10,16,512,2,1.2831015749551613e-13,0.002259999979287386,369.54752552534734
10,32,512,2,5.5843457955403826e-14,0.003131000034045428,266.74461544284736
10,64,512,2,6.247928387191588e-14,0.005723099980968982,145.93094700602893
10,128,512,2,2.923233446161974e-14,0.00710569997318089,117.53626007081745
10,8,512,3,0.04649492655408194,0.0026348999817855656,276.46070249438907
10,16,512,3,7.8031725105073e-13,0.0031531000277027488,231.0254332456474
10,32,512,3,2.4960569611844526e-13,0.0032171999919228256,226.42244864967796
10,64,512,3,1.646419579022712e-13,0.0031473999843001366,231.44382779453736
10,128,512,3,1.4189482092645607e-13,0.006202400021720678,117.44587537338552
10,8,512,4,0.010943348426515594,0.0019577000057324767,482.74607815590804
10,16,512,4,2.872051998726763e-13,0.0031464999774470925,300.35658882792507
10,32,512,4,1.4306449309560872e-13,0.003049299994017929,309.9308043902469
10,64,512,4,1.3269360766907385e-13,0.004777699999976903,197.80898758350682
10,128,512,4,2.4590708592401996e-14,0.006290599994827062,150.2355897291691
20,8,512,0,0.0351788246099754,0.0030373000190593302,367.1719925503853
20,16,512,0,0.010688252497668298,0.0028491999837569892,391.41215300050874
20,32,512,0,5.828566523134082e-12,0.004578399995807558,243.58105473364864
20,64,512,0,3.235958836203688e-12,0.0033156999852508307,336.342704385835
20,128,512,0,2.0784093203349342e-12,0.009749300021212548,114.38887894975619
20,8,512,1,0.09840689129820424,0.0018509000074118376,417.15365328625313
20,16,512,1,0.029293778733043726,0.0021182000054977834,364.51217918770277
20,32,512,1,2.5326570807551573e-11,0.002751799998804927,280.5835090830434
20,64,512,1,1.2485449914523027e-11,0.0050669999909587204,152.38004762919118
20,128,512,1,6.889893563551603e-12,0.006090099981520325,126.78112055668625
20,8,512,2,0.04074535640478378,0.002607800008263439,374.8669364572471
20,16,512,2,0.0077983682627407605,0.002653100003954023,368.4663218627171
20,32,512,2,6.6152703980056625e-12,0.006174800044391304,158.3173532686055
20,64,512,2,4.22157138922864e-12,0.0056736000115051866,172.3029466315076
20,128,512,2,2.5394400277409013e-12,0.012143600033596158,80.50149850837956
20,8,512,3,0.0998184561239826,0.002590399992186576,430.7315485545573
20,16,512,3,0.023007191801776024,0.0028383000171743333,393.1110147830805
20,32,512,3,2.159868860022684e-11,0.005657200003042817,197.2295480821084
20,64,512,3,5.1718163685595184e-12,0.0033364000264555216,334.4224287144579
20,128,512,3,3.1967720607765873e-12,0.006828000012319535,163.41051523097474
20,8,512,4,0.039769877744658226,0.002007699979003519,473.3579767414628
20,16,512,4,0.008178947410910513,0.0021856999956071377,434.8084375143142
20,32,512,4,8.399085236195632e-12,0.0031872999970801175,298.1711168812499
20,64,512,4,3.976116676430201e-12,0.0038194000371731818,248.82462971026334
20,128,512,4,2.0987572334230706e-12,0.006435599992983043,147.6724471690587
50,8,512,0,0.01982540529668723,0.001984100032132119,413.3972011095628
50,16,512,0,0.009614760809846317,0.0031306000309996307,262.001339003024
50,32,512,0,0.0025103693942335513,0.00337349995970726,243.1366265900259
50,64,512,0,3.968856373406064e-10,0.004230600025039166,193.87826671163936
50,128,512,0,1.5257550751845802e-10,0.00487589999102056,168.21948799510415
50,8,512,1,0.04416814244708461,0.0018995000282302499,381.42715937242
50,16,512,1,0.017486000175520933,0.0021115000126883388,343.1309001382594
50,32,512,1,0.006438462787060775,0.003222099971026182,224.8598449802129
50,64,512,1,7.959921005202373e-10,0.003082800016272813,235.02040228728842
50,128,512,1,3.691939900885075e-10,0.004876399994827807,148.57700368389894
50,8,512,2,0.029471920990728824,0.0025263999705202878,312.3414380928088
50,16,512,2,0.009572645193673979,0.0028668000013567507,275.2544298927323
50,32,512,2,0.004009382710859062,0.0031543999793939292,250.15832017014853
50,64,512,2,5.352004699940067e-10,0.003138299973215908,251.44167438567808
50,128,512,2,2.684145113873668e-10,0.016817199997603893,46.92216302965815
50,8,512,3,0.030161653252313743,0.002654199954122305,475.84101492302165
50,16,512,3,0.0074085090410889775,0.003633400017861277,347.60202393614225
50,32,512,3,0.002022002329443831,0.004186200036201626,301.7001550466196
