algo,n,rank,trial,rel_error,online_runtime_sec,offline_runtime_sec,total_runtime_sec,speedup_online,speedup_total
naive_matmul,128,128,0,0.0,0.004336099955253303,0.0,0.004336099955253303,1.0,1.0
lrgemm_rsvd,128,16,0,0.8782198561343738,0.0001841000048443675,0.0019381999736651778,0.0021222999785095453,23.552959484813208,2.043113602770929
lrgemm_rsvd,128,32,0,0.7195560788203986,0.0003236000193282962,0.01108260004548356,0.011406200064811856,13.399566428499735,0.3801528932172756
lrgemm_rsvd,128,64,0,0.4210060552406546,0.00041689997306093574,0.03633090003859252,0.03674780001165345,10.400816108039233,0.11799617810802933
naive_matmul,128,128,1,0.0,0.00460779998684302,0.0,0.00460779998684302,1.0,1.0
lrgemm_rsvd,128,16,1,0.8619689146117447,9.509996743872762e-05,0.0018665999523364007,0.0019616999197751284,48.452172076839034,2.3488811618910685
lrgemm_rsvd,128,32,1,0.7035397372730635,0.00019829999655485153,0.010572300001513213,0.010770599998068064,23.236510675220618,0.4278127483770195
lrgemm_rsvd,128,64,1,0.3773105091930058,0.0003418999840505421,0.03303220000816509,0.03337409999221563,13.477040660410974,0.1380651459640191
naive_matmul,128,128,2,0.0,0.004615799989551306,0.0,0.004615799989551306,1.0,1.0
lrgemm_rsvd,128,16,2,0.617919182411331,9.950000094249845e-05,0.002071399998385459,0.0021708999993279576,46.38994920431006,2.126214929743522
lrgemm_rsvd,128,32,2,0.5139703802834541,0.000775699969381094,0.010768899985123426,0.01154459995450452,5.9504965473108165,0.39982329467815764
lrgemm_rsvd,128,64,2,0.28883627151846847,0.0003703999682329595,0.03321559994947165,0.03358599991770461,12.461664107509433,0.13743226346874732
naive_matmul,256,256,0,0.0,0.025574599974788725,0.0,0.025574599974788725,1.0,1.0
lrgemm_rsvd,256,16,0,0.9559695629711858,0.0006556999869644642,0.004475500027183443,0.0051312000141479075,39.003508438646264,4.98413624576583
lrgemm_rsvd,256,32,0,0.9097291924240871,0.000920899969059974,0.028950300009455532,0.029871199978515506,27.771311580012846,0.8561624572559168
lrgemm_rsvd,256,64,0,0.7675959676677137,0.0019955000025220215,0.10661800001980737,0.10861350002232939,12.816136277858257,0.2354642836252487
naive_matmul,256,256,1,0.0,0.02759499999228865,0.0,0.02759499999228865,1.0,1.0
lrgemm_rsvd,256,16,1,0.9215568484114546,0.0007866999949328601,0.004983300052117556,0.0057700000470504165,35.076903737165665,4.78249562690992
lrgemm_rsvd,256,32,1,0.8747172556326893,0.0008732000133022666,0.02668519999133423,0.027558400004636496,31.602152510202007,1.0013280882651385
lrgemm_rsvd,256,64,1,0.7478756866047013,0.002646800014190376,0.09932999999728054,0.10197680001147091,10.425797130248855,0.2706007639893055
naive_matmul,256,256,2,0.0,0.02394440001808107,0.0,0.02394440001808107,1.0,1.0
lrgemm_rsvd,256,16,2,0.9362593980227096,0.0006738000083714724,0.004614000034052879,0.005287800042424351,35.53636052328496,4.528234771733736
lrgemm_rsvd,256,32,2,0.8829037090426346,0.0008331999997608364,0.027534799999557436,0.028367999999318272,28.73787809043942,0.8440637344422057
lrgemm_rsvd,256,64,2,0.7557157537556216,0.001980200002435595,0.10074020002502948,0.10272040002746508,12.091909902348286,0.23310267494751663
naive_matmul,512,512,0,0.0,0.8861600999953225,0.0,0.8861600999953225,1.0,1.0
lrgemm_rsvd,512,16,0,0.9927573528595364,0.0027256999746896327,0.02556669997284189,0.02829239994753152,325.1128547617303,31.321489221088115
lrgemm_rsvd,512,32,0,0.9789533606068433,0.003011499997228384,0.06360500009031966,0.06661650008754805,294.2587085541739,13.302411547150067
lrgemm_rsvd,512,64,0,0.9389521773991806,0.003934499982278794,0.15205149998655543,0.15598599996883422,225.22813673570639,5.681023298067622
naive_matmul,512,512,1,0.0,0.795203700021375,0.0,0.795203700021375,1.0,1.0
lrgemm_rsvd,512,16,1,0.9936053989014435,0.002462000004015863,0.027001100010238588,0.02946310001425445,322.9909418051534,26.98981775972827
