experiment,rank,density,algo,trial,samples_needed,ratio_needed,target_error
sparsity_sweep,-1,0.01,rmm_importance,1,102,0.2,2.0
sparsity_sweep,-1,0.01,rmm_uniform,1,77,0.15,3.0
sparsity_sweep,-1,0.01,rmm_importance,1,51,0.1,3.0
sparsity_sweep,-1,0.01,rmm_uniform,2,-1,-1.0,1.0
sparsity_sweep,-1,0.01,rmm_importance,2,-1,-1.0,1.0
sparsity_sweep,-1,0.01,rmm_uniform,2,154,0.3,2.0
sparsity_sweep,-1,0.01,rmm_importance,2,102,0.2,2.0
sparsity_sweep,-1,0.01,rmm_uniform,2,77,0.15,3.0
sparsity_sweep,-1,0.01,rmm_importance,2,51,0.1,3.0
sparsity_sweep,-1,0.01,rmm_uniform,3,-1,-1.0,1.0
sparsity_sweep,-1,0.01,rmm_importance,3,-1,-1.0,1.0
sparsity_sweep,-1,0.01,rmm_uniform,3,154,0.3,2.0
sparsity_sweep,-1,0.01,rmm_importance,3,102,0.2,2.0
sparsity_sweep,-1,0.01,rmm_uniform,3,77,0.15,3.0
sparsity_sweep,-1,0.01,rmm_importance,3,51,0.1,3.0
sparsity_sweep,-1,0.01,rmm_uniform,4,-1,-1.0,1.0
sparsity_sweep,-1,0.01,rmm_importance,4,-1,-1.0,1.0
sparsity_sweep,-1,0.01,rmm_uniform,4,154,0.3,2.0
sparsity_sweep,-1,0.01,rmm_importance,4,102,0.2,2.0
sparsity_sweep,-1,0.01,rmm_uniform,4,51,0.1,3.0
sparsity_sweep,-1,0.01,rmm_importance,4,51,0.1,3.0
sparsity_sweep,-1,0.001,rmm_uniform,0,3,0.005,1.0
sparsity_sweep,-1,0.001,rmm_importance,0,51,0.1,1.0
sparsity_sweep,-1,0.001,rmm_uniform,0,1,0.001,2.0
sparsity_sweep,-1,0.001,rmm_importance,0,10,0.02,2.0
sparsity_sweep,-1,0.001,rmm_uniform,0,3,0.005,3.0
sparsity_sweep,-1,0.001,rmm_importance,0,5,0.01,3.0
sparsity_sweep,-1,0.001,rmm_uniform,1,1,0.001,1.0
sparsity_sweep,-1,0.001,rmm_importance,1,51,0.1,1.0
sparsity_sweep,-1,0.001,rmm_uniform,1,3,0.005,2.0
sparsity_sweep,-1,0.001,rmm_importance,1,10,0.02,2.0
sparsity_sweep,-1,0.001,rmm_uniform,1,1,0.001,3.0
sparsity_sweep,-1,0.001,rmm_importance,1,5,0.01,3.0
sparsity_sweep,-1,0.001,rmm_uniform,2,1,0.001,1.0
sparsity_sweep,-1,0.001,rmm_importance,2,51,0.1,1.0
sparsity_sweep,-1,0.001,rmm_uniform,2,10,0.02,2.0
sparsity_sweep,-1,0.001,rmm_importance,2,26,0.05,2.0
sparsity_sweep,-1,0.001,rmm_uniform,2,1,0.001,3.0
sparsity_sweep,-1,0.001,rmm_importance,2,5,0.01,3.0
sparsity_sweep,-1,0.001,rmm_uniform,3,3,0.005,1.0
sparsity_sweep,-1,0.001,rmm_importance,3,51,0.1,1.0
sparsity_sweep,-1,0.001,rmm_uniform,3,1,0.001,2.0
sparsity_sweep,-1,0.001,rmm_importance,3,10,0.02,2.0
sparsity_sweep,-1,0.001,rmm_uniform,3,51,0.1,3.0
sparsity_sweep,-1,0.001,rmm_importance,3,5,0.01,3.0
sparsity_sweep,-1,0.001,rmm_uniform,4,1,0.001,1.0
sparsity_sweep,-1,0.001,rmm_importance,4,51,0.1,1.0
sparsity_sweep,-1,0.001,rmm_uniform,4,1,0.001,2.0
sparsity_sweep,-1,0.001,rmm_importance,4,10,0.02,2.0
sparsity_sweep,-1,0.001,rmm_uniform,4,1,0.001,3.0
sparsity_sweep,-1,0.001,rmm_importance,4,5,0.01,3.0
