algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
rmm_uniform,1024,2,5,0.005,14.141366332699116,0.01374360005138442,394.90588199135
rmm_importance,1024,2,5,0.005,14.27650052535506,0.02530269999988377,214.49997431314674
rmm_uniform,1024,2,10,0.01,10.133727754263479,0.01521470001898706,356.7226756528366
rmm_importance,1024,2,10,0.01,10.072976408300768,0.027075799996964633,200.45311682893123
rmm_uniform,1024,2,20,0.02,7.100575015826334,0.014009499980602413,387.410579074425
rmm_importance,1024,2,20,0.02,7.08938284149509,0.024833900039084256,218.54918041413129
rmm_uniform,1024,2,51,0.05,4.521044025403417,0.017368600005283952,312.4850879389917
rmm_importance,1024,2,51,0.05,4.4561063115506565,0.023117000004276633,234.78083224571768
rmm_uniform,1024,2,102,0.1,3.126997495385241,0.019008599978405982,285.5248943211997
rmm_importance,1024,2,102,0.1,3.437838585093904,0.026594199996907264,204.08316477500742
rmm_uniform,1024,2,205,0.2,2.2659916953275245,0.018611200037412345,291.62163047616906
rmm_importance,1024,2,205,0.2,2.3384882337422384,0.028764599992427975,188.6843029785587
naive_matmul,1024,3,1024,1.0,0.0,4.558784300053958,1.0
rmm_uniform,1024,3,5,0.005,14.177748423679393,0.01388849999057129,328.241660593214
rmm_importance,1024,3,5,0.005,14.284499289310844,0.021552299964241683,211.52194000722088
rmm_uniform,1024,3,10,0.01,10.076596175576254,0.013769799959845841,331.0712075228285
rmm_importance,1024,3,10,0.01,10.054948885590406,0.025317299994640052,180.06597468999863
rmm_uniform,1024,3,20,0.02,7.145353004130792,0.012324500014074147,369.8960846158454
rmm_importance,1024,3,20,0.02,7.432020980420288,0.022109500016085804,206.19119820607463
rmm_uniform,1024,3,51,0.05,4.350912871408141,0.014938700012862682,305.16606506113004
rmm_importance,1024,3,51,0.05,4.357207919224357,0.021529700024984777,211.74397668168075
rmm_uniform,1024,3,102,0.1,3.30650653334114,0.016108199954032898,283.01016333687903
rmm_importance,1024,3,102,0.1,3.1301867687325924,0.02144629997201264,212.56740351497268
rmm_uniform,1024,3,205,0.2,2.2101851577251006,0.02011849998962134,226.59663008702074
rmm_importance,1024,3,205,0.2,2.258126617767375,0.02730590000282973,166.95235460400602
naive_matmul,1024,4,1024,1.0,0.0,4.37946850003209,1.0
rmm_uniform,1024,4,5,0.005,14.11738311717881,0.012489299988374114,350.6576432713439
rmm_importance,1024,4,5,0.005,14.262163765826903,0.021689700020942837,201.91466437080382
rmm_uniform,1024,4,10,0.01,11.176831766521921,0.012852000014390796,340.76163205168524
rmm_importance,1024,4,10,0.01,10.063059643573581,0.018876000016462058,232.01252893688738
rmm_uniform,1024,4,20,0.02,7.197183881297032,0.012346000003162771,354.72772549086073
rmm_importance,1024,4,20,0.02,7.079059852286114,0.022341999982018024,196.0195373537243
rmm_uniform,1024,4,51,0.05,4.608409625341322,0.012291199993342161,356.3092702424775
rmm_importance,1024,4,51,0.05,4.540680226321324,0.02038970001740381,214.7882752710415
rmm_uniform,1024,4,102,0.1,3.024434724225098,0.015248300042003393,287.2102783896096
rmm_importance,1024,4,102,0.1,3.222868393980882,0.023846699972636998,183.65092465864586
rmm_uniform,1024,4,205,0.2,2.1902517459527036,0.018610900035127997,235.31739420263722
rmm_importance,1024,4,205,0.2,2.270744208211566,0.02833410003222525,154.56529394091163
