density,sparsity_pct,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
0.05,95.0,rmm_importance,512,7,10,0.02,6.851007471946582,0.00452479999512434,108.10464562432965
0.05,95.0,rmm_uniform,512,7,26,0.05,4.129423791853119,0.002841999987140298,172.11537727207522
0.05,95.0,rmm_importance,512,7,26,0.05,4.168647032620471,0.0049857000121846795,98.11097715434833
0.05,95.0,rmm_uniform,512,7,51,0.1,3.084105584356627,0.005199999955948442,94.06767387263709
0.05,95.0,rmm_importance,512,7,51,0.1,3.078446446416597,0.005011199973523617,97.61173023992076
0.05,95.0,rmm_uniform,512,7,102,0.2,2.2699917047605505,0.003596399968955666,136.01154048945418
0.05,95.0,rmm_importance,512,7,102,0.2,2.3635132258653435,0.0061654000310227275,79.33822583005112
0.05,95.0,rmm_uniform,512,8,3,0.005,11.583220743887424,0.0024896999821066856,199.44595877933412
0.05,95.0,rmm_importance,512,8,3,0.005,12.611638404414203,0.004380799946375191,113.34929832051073
0.05,95.0,rmm_uniform,512,8,5,0.01,9.728710656007506,0.0024101000162772834,206.0331922536402
0.05,95.0,rmm_importance,512,8,5,0.01,9.773940443174544,0.0049591000424697995,100.13119230336297
0.05,95.0,rmm_uniform,512,8,10,0.02,6.740389449471179,0.0024251999566331506,204.75037476642652
0.05,95.0,rmm_importance,512,8,10,0.02,6.86625961064762,0.0041313000256195664,120.19475635388893
0.05,95.0,rmm_uniform,512,8,26,0.05,4.38018665025746,0.0027882999856956303,178.0872225196659
0.05,95.0,rmm_importance,512,8,26,0.05,4.367219920379412,0.0077046999940648675,64.44905062970298
0.05,95.0,rmm_uniform,512,8,51,0.1,3.169610375849899,0.0027642000350169837,179.63989353654281
0.05,95.0,rmm_importance,512,8,51,0.1,3.1090401769949914,0.00455289997626096,109.06468461711214
0.05,95.0,rmm_uniform,512,8,102,0.2,2.261081231585057,0.004027900053188205,123.28026848906447
0.05,95.0,rmm_importance,512,8,102,0.2,2.159260942861074,0.005474700010381639,90.70096974492377
0.05,95.0,rmm_uniform,512,9,3,0.005,15.729810006670364,0.002306999987922609,236.87789463267836
0.05,95.0,rmm_importance,512,9,3,0.005,12.671769698815362,0.0042845000280067325,127.54750764022245
0.05,95.0,rmm_uniform,512,9,5,0.01,10.462451142322532,0.0024924000026658177,219.25746247481206
0.05,95.0,rmm_importance,512,9,5,0.01,9.764439544660778,0.004370899987407029,125.02626498688467
0.05,95.0,rmm_uniform,512,9,10,0.02,6.939433069288935,0.002866599999833852,190.63604970641032
0.05,95.0,rmm_importance,512,9,10,0.02,6.899094771252423,0.004162499972153455,131.28583872974872
0.05,95.0,rmm_uniform,512,9,26,0.05,5.284409585315481,0.008166999963577837,66.91285692345207
0.05,95.0,rmm_importance,512,9,26,0.05,4.527321469699846,0.005564699997194111,98.20426983166608
0.05,95.0,rmm_uniform,512,9,51,0.1,3.0913793042460775,0.004254399973433465,128.44991149614307
0.05,95.0,rmm_importance,512,9,51,0.1,3.0732664528678897,0.0050385999493300915,108.45816408373105
0.05,95.0,rmm_uniform,512,9,102,0.2,2.264257934202337,0.00456329999724403,119.75484854968175
0.05,95.0,rmm_importance,512,9,102,0.2,2.145292423737027,0.006326799979433417,86.37499238685598
0.01,99.0,rmm_uniform,512,0,3,0.005,10.6761560145074,0.002485700009856373,203.95558512187185
0.01,99.0,rmm_importance,512,0,3,0.005,11.01228283842512,0.004319299943745136,117.37374263203368
0.01,99.0,rmm_uniform,512,0,5,0.01,6.040546224391716,0.003512499970383942,144.33378056150798
0.01,99.0,rmm_importance,512,0,5,0.01,8.566761219124391,0.004171999986283481,121.51783356052273
0.01,99.0,rmm_uniform,512,0,10,0.02,12.197388103347196,0.002367999986745417,214.09307550059694
0.01,99.0,rmm_importance,512,0,10,0.02,5.920234819561579,0.007664600037969649,66.14466474913361
0.01,99.0,rmm_uniform,512,0,26,0.05,5.096043598178836,0.002579999971203506,196.50093240551826
0.01,99.0,rmm_importance,512,0,26,0.05,3.6706900897300763,0.004340799991041422,116.79238872880411
0.01,99.0,rmm_uniform,512,0,51,0.1,3.2870585936414014,0.006245199998375028,81.17792866195013
0.01,99.0,rmm_importance,512,0,51,0.1,2.6620449682886402,0.004583300033118576,110.61296364723133
0.01,99.0,rmm_uniform,512,0,102,0.2,2.272596555369892,0.003796400036662817,133.54030003470012
0.01,99.0,rmm_importance,512,0,102,0.2,1.9227901700578418,0.007269199995789677,69.74253016031169
0.01,99.0,rmm_uniform,512,1,3,0.005,19.45398192050242,0.002242000016849488,225.55071194433395
0.01,99.0,rmm_importance,512,1,3,0.005,11.040971966809618,0.004799799993634224,105.35536910918776
0.01,99.0,rmm_uniform,512,1,5,0.01,8.785716685255517,0.0026516999932937324,190.70207838688762
0.01,99.0,rmm_importance,512,1,5,0.01,8.536211354640493,0.004093899973668158,123.52150839838774
0.01,99.0,rmm_uniform,512,1,10,0.02,5.395194037541244,0.0025417000288143754,198.95530324068062
0.01,99.0,rmm_importance,512,1,10,0.02,5.973035670752416,0.004578899999614805,110.43803097297406
0.01,99.0,rmm_uniform,512,1,26,0.05,4.977655662237145,0.0022770999930799007,222.07399829449074
0.01,99.0,rmm_importance,512,1,26,0.05,3.580080997334439,0.0037072999984957278,136.40242229784403
0.01,99.0,rmm_uniform,512,1,51,0.1,3.4285103459678026,0.0047076999908313155,107.41650932822373
0.01,99.0,rmm_importance,512,1,51,0.1,2.762748038351293,0.00532779999775812,94.91435492931366
0.01,99.0,rmm_uniform,512,1,102,0.2,2.4840821390092223,0.003528999979607761,143.29405012799583
0.01,99.0,rmm_importance,512,1,102,0.2,1.9096014791317621,0.005885999999009073,85.913132868628
0.01,99.0,rmm_uniform,512,2,3,0.005,9.084292364259616,0.002321200037840754,223.5447576707437
0.01,99.0,rmm_importance,512,2,3,0.005,11.21237847665152,0.004761099989991635,108.98575981500109
0.01,99.0,rmm_uniform,512,2,5,0.01,8.883948317387146,0.002298499981407076,225.75249256551288
0.01,99.0,rmm_importance,512,2,5,0.01,8.697953287655043,0.005324700032360852,97.45001536440869
0.01,99.0,rmm_uniform,512,2,10,0.02,7.94743934470398,0.0027280000504106283,190.20971054832896
0.01,99.0,rmm_importance,512,2,10,0.02,6.652253134764238,0.0052358999964781106,99.10275221327018
