matrix_type,algo,m,n,rank,oversampling,power_iter,trial,rel_error,baseline_error,runtime_sec,baseline_runtime_sec,speedup
NN-Like,rsvd,1024,1024,64,10,1,0,6.904249039582791e-10,3.0718003858435493e-15,0.11099309998098761,0.979895900003612,8.828439787441397
NN-Like,rsvd,1024,1024,128,10,1,0,4.6145262250959637e-10,3.151525524497584e-15,0.24707909999415278,0.9659920000121929,3.9096467488956104
NN-Like,rsvd,1024,1024,256,10,1,0,2.4026271968774353e-10,3.2938090459713173e-15,0.5076684000086971,0.9436285000410862,1.8587497272332107
NN-Like,rsvd,1024,1024,16,10,1,1,0.0017400166054931862,0.0017398118010499197,0.027665100002195686,1.030188000004273,37.23781948818223
NN-Like,rsvd,1024,1024,32,10,1,1,2.6618414387479118e-09,1.5453123529836185e-15,0.061442699981853366,1.0155619999859482,16.528603077109025
NN-Like,rsvd,1024,1024,64,10,1,1,7.312529651202534e-10,1.7054072670215e-15,0.10250470001483336,1.0349254000466317,10.096370214213286
NN-Like,rsvd,1024,1024,128,10,1,1,5.198571553426934e-10,1.8584298010060246e-15,0.23425809998298064,1.07235190004576,4.5776513176008375
NN-Like,rsvd,1024,1024,256,10,1,1,2.4209457687772165e-10,2.1126674891533343e-15,0.5055216000182554,0.9843474999652244,1.9471917716862694
NN-Like,rsvd,1024,1024,16,10,1,2,0.0017400063419073925,0.0017398118010499197,0.027187999978195876,0.9753350000246428,35.873731087495884
NN-Like,rsvd,1024,1024,32,10,1,2,2.4136092310428923e-09,1.5075877596155474e-15,0.05647930002305657,1.0117329999920912,17.913341694728352
NN-Like,rsvd,1024,1024,64,10,1,2,6.966813754726753e-10,1.6563314015705619e-15,0.12921810004627332,1.037239299970679,8.027043421929598
NN-Like,rsvd,1024,1024,128,10,1,2,4.154478586203152e-10,1.826665443931459e-15,0.2873365000123158,1.0646506999619305,3.7052400231655134
NN-Like,rsvd,1024,1024,256,10,1,2,2.5509651857442254e-10,2.107788375137741e-15,0.5093508000136353,1.0120223999838345,1.9868868370418633
NN-Like,rsvd,1024,1024,16,10,1,3,0.0017400121267480333,0.0017398118010499197,0.025408599991351366,1.0331261999672279,40.660492916527694
NN-Like,rsvd,1024,1024,32,10,1,3,2.887344774545986e-09,2.1981040232141306e-15,0.0549853999982588,1.0445183999836445,18.996286287209347
NN-Like,rsvd,1024,1024,64,10,1,3,5.679147384572016e-10,2.3000214640638185e-15,0.10813599999528378,0.9919305000221357,9.17299049405746
NN-Like,rsvd,1024,1024,128,10,1,3,5.509714261858595e-10,2.4218823382718718e-15,0.23076740000396967,1.0179282000171952,4.41105719438571
NN-Like,rsvd,1024,1024,256,10,1,3,2.548975557483371e-10,2.6345276383532882e-15,0.48108669999055564,0.9966569999814965,2.0716785560712077
NN-Like,rsvd,1024,1024,16,10,1,4,0.001739931068269408,0.0017398118010499197,0.02692380000371486,1.0000737000373192,37.14459696994229
NN-Like,rsvd,1024,1024,32,10,1,4,2.4742191891622258e-09,1.669285723242765e-15,0.051728099992033094,0.9205584999872372,17.796101154479228
NN-Like,rsvd,1024,1024,64,10,1,4,7.994061246238698e-10,1.787690443064064e-15,0.10868380003375933,0.9302432000404224,8.559170729689894
NN-Like,rsvd,1024,1024,128,10,1,4,5.126896320471508e-10,1.945707765764377e-15,0.23545129998819903,1.0560824000276625,4.4853538718223005
NN-Like,rsvd,1024,1024,256,10,1,4,2.2018966960926433e-10,2.211518611491921e-15,0.48065679997671396,0.9568696999922395,1.9907545259707056
