algo,dist,n,graphs_per_rep,rep,total_time_ns,sum_sq_error
StoerWagner,adversarial_barbell,30,20,2,682419,0
StoerWagner,adversarial_barbell,30,20,3,674709,0
StoerWagner,adversarial_barbell,30,20,4,680440,0
StoerWagner,adversarial_barbell,60,20,0,5362627,0
StoerWagner,adversarial_barbell,60,20,1,5805374,0
StoerWagner,adversarial_barbell,60,20,2,5146673,0
StoerWagner,adversarial_barbell,60,20,3,5913055,0
StoerWagner,adversarial_barbell,60,20,4,5578720,0
StoerWagner,adversarial_barbell,90,20,0,16329595,0
StoerWagner,adversarial_barbell,90,20,1,16911559,0
StoerWagner,adversarial_barbell,90,20,2,16590619,0
StoerWagner,adversarial_barbell,90,20,3,16977215,0
StoerWagner,adversarial_barbell,90,20,4,16205174,0
