algo,n,k,p_noise,graphs_per_rep,rep,timeout,total_time_ns,error_count
dfs_k_cycle,20,5,-1.0,20,1,0,3993,0
dfs_k_cycle,20,5,-1.0,20,2,0,4311,0
dfs_k_cycle,20,5,-1.0,20,3,0,4324,0
dfs_k_cycle,20,5,-1.0,20,4,0,4443,0
dfs_k_cycle,20,6,-1.0,20,0,0,2534,0
dfs_k_cycle,20,6,-1.0,20,1,0,2186,0
dfs_k_cycle,20,6,-1.0,20,2,0,2269,0
dfs_k_cycle,20,6,-1.0,20,3,0,2091,0
dfs_k_cycle,20,6,-1.0,20,4,0,2468,0
dfs_k_cycle,20,7,-1.0,20,0,0,19578,0
dfs_k_cycle,20,7,-1.0,20,1,0,39733,0
dfs_k_cycle,20,7,-1.0,20,2,0,17942,0
dfs_k_cycle,20,7,-1.0,20,3,0,17882,0
dfs_k_cycle,20,7,-1.0,20,4,0,16835,0
dfs_k_cycle,40,5,-1.0,20,0,0,12058,0
dfs_k_cycle,40,5,-1.0,20,1,0,12470,0
dfs_k_cycle,40,5,-1.0,20,2,0,11950,0
dfs_k_cycle,40,5,-1.0,20,3,0,12424,0
dfs_k_cycle,40,5,-1.0,20,4,0,13197,0
dfs_k_cycle,40,6,-1.0,20,0,0,5385,0
dfs_k_cycle,40,6,-1.0,20,1,0,2695,0
dfs_k_cycle,40,6,-1.0,20,2,0,2908,0
dfs_k_cycle,40,6,-1.0,20,3,0,2743,0
dfs_k_cycle,40,6,-1.0,20,4,0,2672,0
dfs_k_cycle,40,7,-1.0,20,0,0,414632,0
dfs_k_cycle,40,7,-1.0,20,1,0,357411,0
dfs_k_cycle,40,7,-1.0,20,2,0,385732,0
dfs_k_cycle,40,7,-1.0,20,3,0,353832,0
dfs_k_cycle,40,7,-1.0,20,4,0,355283,0
dfs_k_cycle,80,5,-1.0,20,0,0,42143,0
dfs_k_cycle,80,5,-1.0,20,1,0,41216,0
dfs_k_cycle,80,5,-1.0,20,2,0,40344,0
dfs_k_cycle,80,5,-1.0,20,3,0,40839,0
dfs_k_cycle,80,5,-1.0,20,4,0,42558,0
dfs_k_cycle,80,6,-1.0,20,0,0,4562,0
dfs_k_cycle,80,6,-1.0,20,1,0,4627,0
dfs_k_cycle,80,6,-1.0,20,2,0,3727,0
dfs_k_cycle,80,6,-1.0,20,3,0,3425,0
dfs_k_cycle,80,6,-1.0,20,4,0,3229,0
dfs_k_cycle,80,7,-1.0,20,0,0,10386200,0
dfs_k_cycle,80,7,-1.0,20,1,0,10319956,0
dfs_k_cycle,80,7,-1.0,20,2,0,10431496,0
dfs_k_cycle,80,7,-1.0,20,3,0,10629910,0
dfs_k_cycle,80,7,-1.0,20,4,0,10191236,0
dfs_k_cycle,200,5,-1.0,20,0,0,322924,0
dfs_k_cycle,200,5,-1.0,20,1,0,361140,0
dfs_k_cycle,200,5,-1.0,20,2,0,332031,0
dfs_k_cycle,200,5,-1.0,20,3,0,328568,0
dfs_k_cycle,200,5,-1.0,20,4,0,325139,0
dfs_k_cycle,200,6,-1.0,20,0,0,8552,0
dfs_k_cycle,200,6,-1.0,20,1,0,6191,0
dfs_k_cycle,200,6,-1.0,20,2,0,7461,0
dfs_k_cycle,200,6,-1.0,20,3,0,8060,0
dfs_k_cycle,200,6,-1.0,20,4,0,6260,0
dfs_k_cycle,200,7,-1.0,20,0,0,355536847,0
dfs_k_cycle,200,7,-1.0,20,1,0,358617269,0
dfs_k_cycle,200,7,-1.0,20,2,0,358330852,0
dfs_k_cycle,200,7,-1.0,20,3,0,355425130,0
dfs_k_cycle,200,7,-1.0,20,4,0,356475588,0
dfs_k_cycle,300,5,-1.0,20,0,0,569618,0
dfs_k_cycle,300,5,-1.0,20,1,0,599573,0
dfs_k_cycle,300,5,-1.0,20,2,0,575429,0
dfs_k_cycle,300,5,-1.0,20,3,0,572850,0
dfs_k_cycle,300,5,-1.0,20,4,0,611428,0
dfs_k_cycle,300,6,-1.0,20,0,0,9461,0
dfs_k_cycle,300,6,-1.0,20,1,0,8591,0
dfs_k_cycle,300,6,-1.0,20,2,0,8146,0
dfs_k_cycle,300,6,-1.0,20,3,0,8988,0
dfs_k_cycle,300,6,-1.0,20,4,0,8312,0
dfs_k_cycle,300,7,-1.0,20,0,0,2407342204,0
dfs_k_cycle,300,7,-1.0,20,1,0,2403706535,0
dfs_k_cycle,300,7,-1.0,20,2,0,2404354009,0
dfs_k_cycle,300,7,-1.0,20,3,0,2467719271,0
dfs_k_cycle,300,7,-1.0,20,4,0,2534365943,0
dfs_k_cycle,500,5,-1.0,20,0,0,2501927,0
dfs_k_cycle,500,5,-1.0,20,1,0,2259722,0
dfs_k_cycle,500,5,-1.0,20,2,0,2520182,0
dfs_k_cycle,500,5,-1.0,20,3,0,2351303,0
dfs_k_cycle,500,5,-1.0,20,4,0,2363531,0
